sog,ship_heading,wind_speed,wind_direction,air_temperature,air_pressure,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
9.7,11.04,14.21823321,140.1803878,10.17666667,1024.906667,11.49,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,109.32313243947559,0.0
9.6,8.14,14.21823321,140.1803878,10.17666667,1024.906667,11.49,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,112.92496314893592,0.0
9.61,5.16,14.21823321,140.1803878,10.17666667,1024.906667,11.49,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,116.43552870396059,0.0
9.7,2.23,15.63454557,140.7216198,9.94,1025.49,11.49,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,120.45003777262724,0.0
9.77,4.46,15.63454557,140.7216198,9.94,1025.49,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,117.54886112549649,0.0
9.87,0.0,15.63454557,140.7216198,9.94,1025.49,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,122.83360206619867,0.0
9.9,0.0,15.63454557,140.7216198,9.94,1025.49,11.51,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,122.7625497226487,0.0
9.9,2.23,15.63454557,140.7216198,9.94,1025.49,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,119.97178795338901,0.0
9.95,0.0,15.63454557,140.7216198,9.94,1025.49,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,122.64387670927867,0.0
10.01,0.0,15.63454557,140.7216198,9.94,1025.49,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,122.50105227072139,0.0
10.1,357.77,15.63454557,140.7216198,9.94,1025.49,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.13922504905754,0.0
10.26,358.11,15.63454557,140.7216198,9.94,1025.49,11.515,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,124.32085752539929,0.0
10.32,358.11,15.63454557,140.7216198,9.94,1025.49,11.505,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,124.17758749798853,0.0
10.51,355.92,15.63454557,140.7216198,9.94,1025.49,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,126.5886377863506,0.0
10.59,355.75,15.63454557,140.7216198,9.94,1025.49,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,126.62372485270862,0.0
