sog,vessel_id,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel
10.26,1004,358.11,15.63454557346239,140.7216198458094,11.515,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.32,1004,358.11,15.63454557346239,140.7216198458094,11.505,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.51,1004,355.92,15.63454557346239,140.7216198458094,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.59,1004,355.75,15.63454557346239,140.7216198458094,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.6,1004,0,16.139532685222374,151.6344349659905,11.489999999999998,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.74,1004,0,16.139532685222374,151.6344349659905,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.77,1004,0,16.139532685222374,151.6344349659905,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,347.95,16.139532685222374,151.6344349659905,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.37,1004,336.88,16.139532685222374,151.6344349659905,11.5,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.72,1004,335.32,16.139532685222374,151.6344349659905,11.52,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.03,1004,335.92,16.139532685222374,151.6344349659905,11.54,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.1,1004,338.39,16.139532685222374,151.6344349659905,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.1,1004,336.91,16.139532685222374,151.6344349659905,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.17,1004,338.41,16.139532685222374,151.6344349659905,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,339.09,16.139532685222374,151.6344349659905,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,339.1,16.139532685222374,151.6344349659905,11.53,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.29,1004,337.77,16.389132459498246,155.13404767508362,11.53,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,335.97,16.389132459498246,155.13404767508362,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.21,1004,337.78,16.389132459498246,155.13404767508362,11.53,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,336.14,16.389132459498246,155.13404767508362,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,335.11,16.389132459498246,155.13404767508362,11.53,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.48,1004,336.15,16.389132459498246,155.13404767508362,11.54,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.56,1004,336.27,16.389132459498246,155.13404767508362,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.43,1004,337.7,16.389132459498246,155.13404767508362,11.55,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.31,1004,336.99,16.389132459498246,155.13404767508362,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.25,1004,337.83,16.389132459498246,155.13404767508362,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.2,1004,339.17,16.389132459498246,155.13404767508362,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12.14,1004,337.01,16.389132459498246,155.13404767508362,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
12,1004,336.05,15.850592971596104,148.96514646377844,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.87,1004,336.27,15.850592971596104,148.96514646377844,11.54,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.7,1004,334.16,15.850592971596104,148.96514646377844,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.68,1004,333.05,15.850592971596104,148.96514646377844,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.55,1004,335.48,15.850592971596104,148.96514646377844,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.5,1004,334.42,15.850592971596104,148.96514646377844,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.5,1004,334.43,15.850592971596104,148.96514646377844,11.545,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.42,1004,333.43,15.850592971596104,148.96514646377844,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.24,1004,335.51,15.850592971596104,148.96514646377844,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.06,1004,332.14,15.850592971596104,148.96514646377844,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.97,1004,334.66,15.850592971596104,148.96514646377844,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.82,1004,333.92,15.850592971596104,148.96514646377844,11.56,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.65,1004,333.76,14.10429899195323,141.04339536481737,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.54,1004,334.23,14.10429899195323,141.04339536481737,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.46,1004,333.77,14.10429899195323,141.04339536481737,11.555,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.4,1004,334.25,14.10429899195323,141.04339536481737,11.56,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.3,1004,336.15,14.10429899195323,141.04339536481737,11.565,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.29,1004,337.13,14.10429899195323,141.04339536481737,11.565,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.1,1004,334.51,14.10429899195323,141.04339536481737,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.61,1004,327.69,14.10429899195323,141.04339536481737,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.93,1004,341.74,14.10429899195323,141.04339536481737,11.565,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.09,1004,355.18,14.10429899195323,141.04339536481737,11.55,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.27,1004,304.15,14.10429899195323,141.04339536481737,11.56,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.45,1004,292.57,13.942690465223016,129.9664851408154,11.56,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.24,1004,344.32,13.942690465223016,129.9664851408154,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.4,1004,343.58,13.942690465223016,129.9664851408154,11.575,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.37,1004,341.39,13.942690465223016,129.9664851408154,11.575,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.3,1004,341,13.942690465223016,129.9664851408154,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.3,1004,340.89,13.942690465223016,129.9664851408154,11.565,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.3,1004,339.27,13.942690465223016,129.9664851408154,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.31,1004,343.47,13.942690465223016,129.9664851408154,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.17,1004,341.02,13.942690465223016,129.9664851408154,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.03,1004,338.29,13.942690465223016,129.9664851408154,11.58,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.91,1004,338.3,13.942690465223016,129.9664851408154,11.58,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.89,1004,344.36,13.942690465223016,129.9664851408154,11.58,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.88,1004,345.04,15.415782967552278,123.80227846360845,11.59,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.9,1004,342.53,15.415782967552278,123.80227846360845,11.59,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.83,1004,342.82,15.415782967552278,123.80227846360845,11.585,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.8,1004,342.27,15.415782967552278,123.80227846360845,11.585,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.8,1004,340.23,15.415782967552278,123.80227846360845,11.585,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.77,1004,339.33,15.415782967552278,123.80227846360845,11.58,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.8,1004,338.24,15.415782967552278,123.80227846360845,11.58,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.85,1004,340.24,15.415782967552278,123.80227846360845,11.575,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.85,1004,342.84,15.415782967552278,123.80227846360845,11.575,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
