Unnamed: 0,IMO,VesselId,VesselObjectId,StartDateUTC,EndDateUTC,LogDurationMinutes,PortCallId,NoonLogId,ME1RunningHoursMinute,ME2RunningHoursMinute,SpeedOG,SpeedTW,CorrectedSpeed,IdealSpeed,SpeedDrop,ApparentSlip,ME1EffectivePower,ME2EffectivePower,ME1IdealLightRunPower,ME2IdealLightRunPower,MEShaftPowerActual,MEDeliveredPowerActual,AddedPowerWeather,CorrectedPowerDelivered,PwrDlvOnSpeed,PwrDlvOnRPM,IdlPwrDlvOnSpeed,PwrDlvrDevOnSpeed,IdlPwrDlvOnRPM,PwrDlvrDevOnRPM,ME1ActualRPM,ME2ActualRPM,CorrectedRPM,ISOCorrectedRPM,IdealRPM,RPMDeviation,ISOCorrectedFOC,ISOIdealFOC,MEFOCDeviation,MEFOCIdealPD,MEFOCDeviationOnPD,MEFOCIdealPDCor,MEFOCDeviationOnPDCor,MEActualSFOC,ISOCorrectedSFOC,ISOIdealSFOC,ISOSFOCDeviation,ME1MCR,ME2MCR,AutoLogValidityIndex,IsSpeedDropValid,IsApparentSlipValid,IsDeltaFOCMEValid,IsDeltaPDOnSpeedValid,IsDeltaPDOnRPMValid,IsDeltaNpropValid,IsDeltaSFOCMEValid,AddedFOCEngine,AddedFOCSpeedDrop,AddedFOCRPM,AddedFOCRateEngine,AddedFOCRateSpeedDrop,AddedFOCRateRPM,AddedEnergy,AddedFOCHPRolling,AddedFOCMERolling,BFScale,NormPowerDesign,IdealPowerDesign,CreatedOn,WindSpeedUsed,MeanDraft,WindSpeed,WindDirection,Heading,AirTemperature,AirPressure
0,9967469,1032,1032,10-12-2024 06:00,10-12-2024 06:10,10,,,9.00,,14.04,14.00,14.00,14.29,2.00,11.00,10287.56,,,,10184.68,10082.83,5022.48,5060.36,5060.36,5060.36,4714.87,7.30,3812.19,32.70,51.00,,43.00,43.00,46.00,-6.20,0.15,0.12,18.90,0.25,6.00,0.13,103.60,175.32,165.88,158.01,5.00,39.50,,37.5,1,1,0,0,0,0,1,0.0121,0.0113,0,1.9418,1.815,0,51.8224,1.815,1.9418,8,19633.7,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,35.66,25.50,1009.25
1,9967469,1032,1032,10-12-2024 06:10,10-12-2024 06:20,10,,,10.00,,13.73,13.69,13.69,14.50,5.60,12.80,10398.29,,,,10294.31,10191.37,4882.33,5309.03,5309.03,5309.03,4375.66,21.30,3957.82,34.10,51.00,,43.00,43.00,45.00,-2.90,0.17,0.13,32.10,0.28,5.80,0.15,96.50,174.95,165.53,157.94,4.80,40.00,,37.5,1,1,0,0,0,0,1,0.0132,0.0281,0,1.8947,4.053,0,155.5624,4.053,1.8947,8,22195.4,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,35.66,25.50,1009.25
2,9967469,1032,1032,10-12-2024 06:20,10-12-2024 06:30,10,,,5.00,,13.56,13.52,13.52,14.69,8.00,13.80,10574.36,,,,10468.62,10363.93,4817.85,5546.08,5546.08,5546.08,4191.16,32.30,4067.98,36.30,51.00,,44.00,44.00,44.00,-0.80,0.09,0.06,46.00,0.14,7.30,0.08,94.50,177.28,167.74,157.83,6.30,40.60,,37.5,1,1,0,0,0,0,1,0.0087,0.0198,0,2.5152,5.6979,0,112.9103,5.6979,2.5152,8,24207.1,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,35.04,25.50,1009.25
3,9967469,1032,1032,10-12-2024 06:30,10-12-2024 06:40,10,,,9.00,,13.77,13.72,13.72,14.45,5.10,12.70,10386.73,,,,10282.86,10180.03,4925.33,5254.70,5254.70,5254.70,4407.65,19.20,3948.31,33.10,51.00,,43.00,43.00,45.00,-3.20,0.15,0.12,29.40,0.26,5.50,0.14,97.60,174.45,165.06,157.95,4.50,39.90,,37.5,1,1,0,0,0,0,1,0.0111,0.0232,0,1.7717,3.7172,0,127.0576,3.7172,1.7717,8,21808.8,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,34.33,25.50,1009.25
4,9967469,1032,1032,10-12-2024 06:40,10-12-2024 06:50,10,,,9.00,,13.73,13.68,13.68,14.31,4.40,13.00,10193.20,,,,10091.27,9990.36,4903.52,5086.83,5086.83,5086.83,4366.50,16.50,3885.30,30.90,51.00,,43.00,43.00,45.00,-3.40,0.15,0.12,27.20,0.25,5.70,0.13,100.20,174.84,165.43,158.08,4.70,39.20,,37.5,1,1,0,0,0,0,1,0.0112,0.0202,0,1.7986,3.2272,0,108.0493,3.2272,1.7986,8,21311,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,34.54,25.50,1009.25
5,9967469,1032,1032,10-12-2024 06:50,10-12-2024 07:00,10,,,10.00,,13.50,13.45,13.45,14.42,6.70,14.40,10225.51,,,,10123.25,10022.02,4803.52,5218.50,5218.50,5218.50,4123.27,26.60,3973.58,31.30,51.00,,43.00,43.00,44.00,-1.00,0.17,0.12,37.00,0.28,5.80,0.15,96.40,175.05,165.63,158.06,4.80,39.30,,37.5,1,1,0,0,0,0,1,0.0129,0.0323,0,1.8579,4.6561,0,182.538,4.6561,1.8579,8,23152.3,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,34.32,25.50,1009.25
6,9967469,1032,1032,10-12-2024 07:00,10-12-2024 07:10,10,,,10.00,,13.53,13.45,13.45,14.44,6.80,14.00,10306.64,,,,10203.57,10101.53,4864.32,5237.21,5237.21,5237.21,4125.67,26.90,3927.85,33.30,51.00,,43.00,43.00,44.00,-1.40,0.17,0.12,38.00,0.28,6.10,0.15,97.70,175.38,165.94,158.00,5.00,39.60,,37.5,1,1,0,0,0,0,1,0.0136,0.0328,0,1.9637,4.7255,0,185.2559,4.7255,1.9637,8,23221.8,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,30.68,25.50,1009.25
7,9967469,1032,1032,10-12-2024 07:10,10-12-2024 07:20,10,,,9.00,,13.75,13.68,13.68,14.37,4.80,12.70,10318.27,,,,10215.09,10112.94,4960.13,5152.81,5152.81,5152.81,4360.56,18.20,3866.82,33.30,51.00,,43.00,43.00,45.00,-3.50,0.15,0.12,29.60,0.25,6.00,0.13,100.80,175.31,165.87,157.99,5.00,39.70,,37.5,1,1,0,0,0,0,1,0.0122,0.022,0,1.9503,3.5135,0,118.8375,3.5135,1.9503,8,21616.8,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,31.18,25.50,1009.25
8,9967469,1032,1032,10-12-2024 07:20,10-12-2024 07:30,10,,,8.00,,13.55,13.45,13.45,14.49,7.20,14.00,10401.70,,,,10297.68,10194.70,4891.31,5303.40,5303.40,5303.40,4125.18,28.60,3972.54,33.50,51.00,,43.00,43.00,44.00,-1.10,0.14,0.10,40.10,0.23,6.30,0.12,97.60,175.66,166.20,157.94,5.20,40.00,,37.5,1,1,0,0,0,0,1,0.0115,0.0277,0,2.0628,4.9896,0,157.096,4.9896,2.0628,8,23518.1,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,27.96,25.50,1009.25
9,9967469,1032,1032,10-12-2024 07:30,10-12-2024 07:40,10,,,9.00,,13.83,13.75,13.75,14.35,4.20,12.30,10352.03,,,,10248.51,10146.02,5011.92,5134.11,5134.11,5134.11,4432.87,15.80,3864.86,32.80,51.00,,43.00,43.00,45.00,-4.00,0.15,0.12,27.00,0.26,5.90,0.13,101.80,175.03,165.61,157.97,4.80,39.80,,37.5,1,1,0,0,0,0,1,0.0119,0.0198,0,1.8974,3.1647,0,105.1859,3.1647,1.8974,8,21187,18293.2,25-05-2025 15:26,20.51,9.60,20.51,53.00,29.51,25.50,1009.25
